Variable,Chi-square,p-value,Degrees of Freedom,Significant
Gender,1.8623155959345414,0.1723577850309428,1,No
Scholarship,93.78124536262366,3.5239509691014426e-22,1,Yes
Hypertension,140.32041399921096,2.2654118082422854e-32,1,Yes
Diabetes,25.242403234224557,5.055831574799051e-07,1,Yes
Alcoholism,0.0014487790158767197,0.9696375873068587,1,No
Handicap,7.486703156959369,0.11229705875174573,4,No
SMS_received,1768.0700627519273,0.0,1,Yes
